-0.44	-0.18	0
-0.42	-1.75	0
-1.83	-1.23	0
-1	-1.4	0
-1.55	-1.31	0
-1.39	-0.72	0
-1.5	-0.15	0
-0.79	-0.16	0
-1.57	-1.11	0
-1.01	-1.74	0
-1.15	-0.95	0
-0.83	-0.74	0
-0.74	-0.47	0
-0.79	0.03	0
-1.95	-0.61	0
-0.84	-0.44	0
-0.02	-1.1	0
-0.06	-0.12	0
-1.07	-1.09	0
-0.03	-1.82	0
-0.83	-1.04	0
-0.8	-1.21	0
-0.64	-0.25	0
0.05	-0.18	0
-1.23	-1.88	0
-0.5	1.34	1
-0.22	0.55	1
-1.33	1.71	1
-1.82	0.09	1
-0.63	1.64	1
-0.97	0.71	1
-0.85	1.68	1
-1.92	1.97	1
-1.57	0.86	1
-1.81	0.8	1
-1.99	1.01	1
-0.93	0.21	1
-1.73	0.08	1
-0.78	0.74	1
-1.58	0.74	1
-1.38	1.68	1
-1.29	1.13	1
-1.18	1.87	1
-0.15	0.95	1
-0.6	0.71	1
-1.44	0.44	1
-1.99	0.67	1
-1.34	1.42	1
-0.67	1	1
-1.23	1.5	1
1.35	1.97	2
1.28	0.36	2
1.81	1.95	2
1.63	0.21	2
1.98	1.41	2
1.23	1.57	2
1.28	0.79	2
0.75	0.89	2
0.7	0.89	2
1.27	0.01	2
0.22	0.2	2
0.24	0.5	2
-0.04	1.87	2
0.65	0.99	2
0.77	1.6	2
1.48	1.96	2
0.66	1.58	2
0.57	0.18	2
0.95	1.96	2
1.71	1.9	2
1.93	1.98	2
1.4	0.4	2
0.71	1.03	2
1.52	1.71	2
0.41	1.7	2
1.73	-0.51	3
1.77	-0.92	3
1.17	-1.75	3
0.15	-1.95	3
0.18	-1	3
1.9	0.03	3
0.07	-1.1	3
1.95	-0.32	3
0.84	-1.24	3
1.89	-1.23	3
1.52	-1.67	3
1.9	-0.83	3
1.77	-0.67	3
0.68	-1.97	3
1.34	-0.69	3
0.15	-1.54	3
1.81	-0.09	3
1.05	-0.85	3
1.13	-1.5	3
1.87	-1.75	3
1.8	-0.9	3
0.8	-1.75	3
1.48	-0.94	3
1.8	-1.31	3
0.39	-0.32	3
